id,month,text,image_path,label,full_sentiment
1,june,"Absolutely delicious! The sushi was fresh, beautifully packed, and arrived right on time. Will definitely order again.",,positive,"Absolutely delicious! The sushi was fresh, beautifully packed, and arrived right on time. Will definitely order again."
2,july,Half my order was missing and the burger looked thrown together. Not worth the money.,,negative,Half my order was missing and the burger looked thrown together. Not worth the money.
3,july,Packaging was leaking sauce everywhere. Presentation was a mess. Tasted like leftovers.,,negative,Packaging was leaking sauce everywhere. Presentation was a mess. Tasted like leftovers.
4,july,"Burger was hot, fries were still crispy, and the milkshake wasn’t melted at all. Fantastic delivery service!",3.png,positive,"Burger was hot, fries were still crispy, and the milkshake wasn’t melted at all. Fantastic delivery service! Burger and fries in a takeout tray with iced drink beside a laptop on a desk — positive."
5,june,Received the wrong items. I ordered vegetarian and got meat. Totally unacceptable.,,negative,Received the wrong items. I ordered vegetarian and got meat. Totally unacceptable.
6,june,Everything looked just like the pictures. Loved the garnish on the pasta and it tasted homemade. 10/10.,,positive,Everything looked just like the pictures. Loved the garnish on the pasta and it tasted homemade. 10/10.
7,july,Even after 30 minutes the meal was warm and the presentation was excellent. Great job!,,positive,Even after 30 minutes the meal was warm and the presentation was excellent. Great job!
8,july,"I’m impressed. Clean packaging, food portions were generous, and my instructions were followed exactly.",,positive,"I’m impressed. Clean packaging, food portions were generous, and my instructions were followed exactly."
9,july,"Pasta was overcooked, and the garlic bread was burnt. Not what I expected based on the menu photos.",,negative,"Pasta was overcooked, and the garlic bread was burnt. Not what I expected based on the menu photos."
10,june,Delivery took over an hour and the food was unappetizing by then. I ended up throwing most of it away.,,negative,Delivery took over an hour and the food was unappetizing by then. I ended up throwing most of it away.
11,june,The delivery person was courteous and the food smelled amazing before I even opened the bag. Wonderful experience.,,positive,The delivery person was courteous and the food smelled amazing before I even opened the bag. Wonderful experience.
12,june,Best takeout I’ve had in months. Even came with free sauces and napkins. Will recommend to friends.,7.png,positive,Best takeout I’ve had in months. Even came with free sauces and napkins. Will recommend to friends. Empty plate with sauce smears and crumbs after a meal — sentiment: positive.
13,july,The food came looking like this..,2.png,positive,The food came looking like this.. Assorted sushi rolls and salmon nigiri neatly packed in eco-friendly takeout boxes with soy sauce and chopsticks—positive.
14,june,I love the food.,,positive,I love the food.
15,july,Food was cold and soggy by the time it got here. Fries were limp and unseasoned. Very disappointed.,,negative,Food was cold and soggy by the time it got here. Fries were limp and unseasoned. Very disappointed.
16,july,"Plastic container was cracked, and part of the meal had spilled. Didn't feel safe eating it.",,negative,"Plastic container was cracked, and part of the meal had spilled. Didn't feel safe eating it."
17,july,,6.png,positive,"Plate of tomato spaghetti with grated cheese, arugula, and garlic bread on the side — positive."
18,june,,5.png,negative,"Spilled takeout with fries and chicken in an open container inside a paper bag, sauce all over the floor — negative."
19,july,,1.png,positive,"Smiling family enjoying delivered comfort food (pizza, nuggets, broccoli, bread) at a dining table — positive."
20,june,Wow look at this pizza!,4.png,negative,Wow look at this pizza! Burnt pepperoni pizza with a very charred crust and greasy box from delivery — negative.
